id,name,laboratory,storage_id
1,SP6_CSV,Barcelona university,1
2,SP7_CSV,Barcelona university,1
3,SP9_PtA,Barcelona university,1
4,SP10_PtA,Barcelona university,1
5,SP14_PBX,Barcelona university,1
6,SP15_PBX,Barcelona university,1
7,SP18_PBX,Barcelona university,1
8,SP21_BLS,Barcelona university,1
9,SP23_BLN,Barcelona university,1
10,SP24_CSV,Barcelona university,1
11,SP27_CSV,Barcelona university,1
12,SP28_ASP,Barcelona university,1
13,SP32_FZF,Barcelona university,1
14,SP33_FZF,Barcelona university,1
15,SP34_PdA_a,Barcelona university,1
16,SP34_PdA_b,Barcelona university,1
17,SP36_PtA,Barcelona university,1
18,SP39_AND,Barcelona university,1
19,SP40_FER,Barcelona university,1
20,SP50_CdC,Thinsection Lab,1
21,SP52_CdC,Thinsection Lab,1
22,SP53_GUI,Thinsection Lab,1
23,SP54_GUI,Thinsection Lab,1
24,SP55_CAL,Thinsection Lab,1
25,SP56_JOR,Thinsection Lab,1
26,SP58_JOR,Thinsection Lab,1
27,SP59_JOR,Thinsection Lab,1
28,SP61_PER,Thinsection Lab,1
29,RT82,Thinsection Lab,1
